Index	EXG0	EXG1	EXG2	EXG3	Accel_X	Accel_Y	Accel_Z	Timestamp	Marker
93	-1082.8357	-1414.3405	-1570.6383	-863.8271	0	0	0	1784008764568	0
94	-1071.8254	-1396.1495	-1560.8248	-872.9226	0	0	0	1784008764660	0
95	-1044.0604	-1394.2347	-1565.8512	-829.8389	0	0	0	1784008764754	0
96	-1046.9326	-1404.2876	-1565.6119	-835.3441	0	0	0	1784008764782	0
97	-1039.5127	-1401.8940	-1559.1493	-852.8169	0	0	0	1784008764822	0
98	-1089.2982	-1648.9070	-1782.2269	-634.5264	0	0	0	1784008765197	0
99	-1088.1014	-1648.9070	-1781.0302	-626.3884	0	0	0	1784008765253	0
100	-1078.5273	-1620.4238	-1759.4883	-635.7231	0	0	0	1784008765672	0
101	-1097.9149	-1643.8805	-1790.6042	-651.5205	0	0	0	1784008765722	0
102	-1099.8298	-1650.8218	-1794.6732	-645.0579	0	0	0	1784008765874	0
103	-1097.4363	-1665.6617	-1795.6307	-646.9728	0	0	0	1784008765905	0
104	-1125.2013	-1385.1393	-1549.5752	-950.7125	0	0	0	1784008766135	0
105	-1112.2761	-1366.4697	-1533.5385	-936.1119	0	0	0	1784008766201	0
106	-1106.5317	-1355.4595	-1529.4695	-956.4570	0	0	0	1784008766285	0
107	-1129.2703	-1372.2142	-1544.0701	-975.3659	0	0	0	1784008766455	0
108	-1131.1850	-1359.0497	-1527.0759	-953.8241	0	0	0	1784008766522	0
109	-1132.3818	-1354.0233	-1522.2888	-954.0634	0	0	0	1784008766622	0
110	-1123.5258	-1355.6987	-1523.9644	-958.3718	0	0	0	1784008766684	0
111	-1022.7579	-1589.3079	-1740.3400	-624.4735	0	0	0	1784008767022	0
112	-1052.9165	-1615.1581	-1772.4133	-626.8671	0	0	0	1784008767449	0
113	-1048.6082	-1630.2373	-1766.9082	-614.4207	0	0	0	1784008767892	0
114	-1044.7784	-1617.5516	-1764.7540	-628.7819	0	0	0	1784008767937	0
115	-1409.7927	-1567.7661	-1717.8408	-1009.3541	0	0	0	1784008768031	0
116	-1393.5166	-1559.1493	-1716.6440	-999.5407	0	0	0	1784008768311	0
117	-1377.2406	-1564.4152	-1721.9098	-981.1104	0	0	0	1784008768572	0
118	-1380.1128	-1567.0480	-1721.6704	-977.9988	0	0	0	1784008768866	0
119	-1370.2993	-1552.9261	-1719.5162	-970.5789	0	0	0	1784008768967	0
120	-1514.6295	-1281.2598	-1482.5562	-1417.6914	0	0	0	1784008769060	0
121	-1513.1935	-1260.4360	-1456.4667	-1415.5372	0	0	0	1784008769271	0
122	-1502.6619	-1224.7723	-1417.2126	-1431.3345	0	0	0	1784008769302	0
123	-1504.5767	-1207.5390	-1383.7031	-1425.8293	0	0	0	1784008769398	0
124	-1512.9541	-1194.6138	-1364.5548	-1420.0848	0	0	0	1784008769445	0
125	-1517.9805	-1212.3259	-1397.1069	-1418.4094	0	0	0	1784008769472	0
126	-1528.9907	-1269.2921	-1459.5782	-1437.7971	0	0	0	1784008769872	0
127	-1527.7941	-1276.2334	-1467.4769	-1426.0687	0	0	0	1784008769954	0
128	-1185.0397	-1309.9822	-1481.8381	-1062.4906	0	0	0	1784008769987	0
129	-1190.3054	-1319.7958	-1501.2257	-1064.6448	0	0	0	1784008770117	0
130	-1182.4067	-1310.7003	-1494.5238	-1065.8416	0	0	0	1784008770232	0
131	-1200.5977	-1362.8794	-1551.2506	-1090.9738	0	0	0	1784008770391	0
132	-1201.0763	-1361.9220	-1541.4371	-1090.4950	0	0	0	1784008770459	0
133	-1202.0338	-1346.6034	-1518.4592	-1088.1014	0	0	0	1784008770472	0
134	-1198.4435	-1333.4388	-1506.0128	-1093.1279	0	0	0	1784008770584	0
135	-1522.5282	-1301.8442	-1481.8381	-1397.5857	0	0	0	1784008771033	0
136	-1504.5767	-1283.1747	-1468.6737	-1386.5754	0	0	0	1784008771093	0
137	-1517.5018	-1297.2965	-1478.7266	-1387.0541	0	0	0	1784008771169	0
138	-1516.3050	-1288.2010	-1469.6311	-1391.3624	0	0	0	1784008771210	0
